datemissao;nudeputadoid;nulegislatura;numano;nummes;sgpartido;txnomeparlamentar;txtdescricao;txtdescricaoespecificacao;txtfornecedor;vlrdocumento
07/02/2018 00:00;3011;2015;2018;2;PPS;ALEX MANENTE;Emissão Bilhete Aéreo;;Cia Aérea - TAM;170
07/02/2018 00:00;3011;2015;2018;2;PPS;ALEX MANENTE;Emissão Bilhete Aéreo;;Cia Aérea - TAM;170
07/02/2018 00:00;3011;2015;2018;2;PPS;ALEX MANENTE;Emissão Bilhete Aéreo;;Cia Aérea - TAM;170
08/02/2018 00:00;3011;2015;2018;2;PPS;ALEX MANENTE;Emissão Bilhete Aéreo;;Cia Aérea - TAM;170
29/03/2018 00:00;2373;2015;2018;3;DEM;ALEXANDRE LEITE;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;;BAZAR E PAPELARIA LEBLON LTDA;6618
31/01/2018 00:00;2373;2015;2018;1;DEM;ALEXANDRE LEITE;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;;Bazar e Papelaria Leblon Ltda - EPP;8069
28/02/2018 00:00;2373;2015;2018;2;DEM;ALEXANDRE LEITE;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;;Bazar e Papelaria Leblon Ltda - EPP;981
27/04/2018 00:00;2373;2015;2018;4;DEM;ALEXANDRE LEITE;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;;Bazar e Papelaria Leblon Ltda - EPP;8955
27/04/2018 00:00;2373;2015;2018;4;DEM;ALEXANDRE LEITE;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;;Cassia Silva Lopez de Lima;1290
19/01/2018 00:00;2373;2015;2018;1;DEM;ALEXANDRE LEITE;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;;CASSIA SILVA LOPEZ DE LIMA - ME;88656
01/02/2018 00:00;2373;2015;2018;2;DEM;ALEXANDRE LEITE;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;;CASSIA SILVA LOPEZ DE LIMA - ME;75845
26/03/2018 00:00;2373;2015;2018;3;DEM;ALEXANDRE LEITE;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;;Grafica Arte Relevo Ltda;170
08/02/2018 00:00;2373;2015;2018;2;DEM;ALEXANDRE LEITE;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;;Kalunga Comercio e Industria Grafica Ltda;3168
24/05/2018 00:00;2373;2015;2018;5;DEM;ALEXANDRE LEITE;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;;Kalunga Comercio e Industria Grafica Ltda;272
01/03/2018 00:00;2373;2015;2018;3;DEM;ALEXANDRE LEITE;COMBUSTÍVEIS E LUBRIFICANTES.;Veículos Automotores;AUTO POSTO DOM ALIPIO DE PRESIDENTE EPITACIO LTDA;142
04/06/2018 00:00;2373;2015;2018;6;DEM;ALEXANDRE LEITE;COMBUSTÍVEIS E LUBRIFICANTES.;Veículos Automotores;Auto Posto Isabella Luiziania Ltda.;115
06/06/2018 00:00;2373;2015;2018;6;DEM;ALEXANDRE LEITE;COMBUSTÍVEIS E LUBRIFICANTES.;Veículos Automotores;Auto Posto Isabella Luiziania Ltda.;11003
16/05/2018 00:00;2373;2015;2018;5;DEM;ALEXANDRE LEITE;COMBUSTÍVEIS E LUBRIFICANTES.;Veículos Automotores;AUTO POSTO J P LIDER LTDA;50
18/05/2018 00:00;2373;2015;2018;5;DEM;ALEXANDRE LEITE;COMBUSTÍVEIS E LUBRIFICANTES.;Veículos Automotores;AUTO POSTO J P LIDER LTDA;11226
09/04/2018 00:00;2373;2015;2018;4;DEM;ALEXANDRE LEITE;COMBUSTÍVEIS E LUBRIFICANTES.;Veículos Automotores;AUTO POSTO LS COMERCIO DE DERIVADOS DE PETROLEO LTDA;100
19/03/2018 00:00;2373;2015;2018;3;DEM;ALEXANDRE LEITE;Emissão Bilhete Aéreo;;Cia Aérea - GOL;-125217
24/01/2018 00:00;2373;2015;2018;1;DEM;ALEXANDRE LEITE;Emissão Bilhete Aéreo;;Cia Aérea - TAM;152773
24/01/2018 00:00;2373;2015;2018;1;DEM;ALEXANDRE LEITE;Emissão Bilhete Aéreo;;Cia Aérea - TAM;67593
07/02/2018 00:00;2373;2015;2018;2;DEM;ALEXANDRE LEITE;Emissão Bilhete Aéreo;;Cia Aérea - TAM;56293
16/02/2018 00:00;2373;2015;2018;2;DEM;ALEXANDRE LEITE;Emissão Bilhete Aéreo;;Cia Aérea - TAM;815
